what,kind,bundleId,bundleVersion,description,time
install:default-install:install,m2e.plugins,org.eclipse.m2e.core,1.0.100,"org.apache.maven.plugins:maven-install-plugin:2.3.1",1327949309055
install:default-install:install,m2e.plugins,org.eclipse.m2e.core,1.0.100,"org.apache.felix:maven-bundle-plugin:2.3.6",1327949309055
deploy:default-deploy:deploy,m2e.plugins,org.eclipse.m2e.core,1.0.100,"org.apache.maven.plugins:maven-deploy-plugin:2.7",1327949309055
deploy:default-deploy:deploy,m2e.plugins,org.eclipse.m2e.core,1.0.100,"org.apache.felix:maven-bundle-plugin:2.3.6",1327949309055
site:default-site:site,m2e.plugins,org.eclipse.m2e.core,1.0.100,"org.apache.maven.plugins:maven-site-plugin:2.0.1",1327949309055
error,log,,,"Manifest net.juniper.bndtools:impl:bundle:0.0.1-SNAPSHOT : The JAR is empty: dot",1327949309161
error,log,,,"Error(s) found in manifest configuration",1327949309161
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327949320195
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327949325818
activated,editor,bndtools.core,1.0.0.REL-111120-1951,"bndtools.bndProjectEditor",1327949329004
started,bundle,org.eclipse.jdt.debug,3.7.1.v20110802_r371,"org.eclipse.jdt.debug",1327949329311
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui",1327949329487
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1327949329550
closed,editor,bndtools.core,1.0.0.REL-111120-1951,"bndtools.bndProjectEditor",1327949329550
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1327949332106
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327949335222
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327949337072
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1327949337103
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1327949339555
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327949344349
error,log,,,"Error rebuilding workspace OBR index",1327949347490
error,log,,,"Error rebuilding workspace OBR index",1327949358260
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327949358286
started,bundle,org.eclipse.ui.navigator,3.5.100.v20110809-2227,"org.eclipse.ui.navigator",1327949358375
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1327949364154
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1327949364276
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1327949364277
